A-MYB 	 ENSMUSG00000025912 
RBAK 	 ENSMUSG00000061898 
RBPJ 	 ENSMUSG00000039191 
RBPJL 	 ENSMUSG00000017007 
RC3H2 	 ENSMUSG00000075376 
RCoR1 	 ENSMUSG00000037896 
RCoR2 	 ENSMUSG00000024968 
RCoR3 	 ENSMUSG00000037395 
RERE 	 ENSMUSG00000039852 
REST 	 ENSMUSG00000029249 
REVERBAalpha 	 ENSMUSG00000020889 
REVERBAbeta 	 ENSMUSG00000021775 
RFX1 	 ENSMUSG00000031706 
RFX2 	 ENSMUSG00000024206 
RFX3 	 ENSMUSG00000040929 
RFX4 	 ENSMUSG00000020037 
RFX5 	 ENSMUSG00000005774 
RFX6 	 ENSMUSG00000019900 
RFX7 	 ENSMUSG00000037674 
RFX8 	 ENSMUSG00000057173 
RFXANK 	 ENSMUSG00000036120 
RFXAP 	 ENSMUSG00000036615 
RHOXF1 	 ENSMUSG00000006200 
RHOXF1 	 ENSMUSG00000064137 
RHOXF1 	 ENSMUSG00000068048 
RHOXF1 	 ENSMUSG00000071766 
RHOXF1-1 	 ENSMUSG00000097436 
RHOXF1-2 	 ENSMUSG00000097126 
RLF 	 ENSMUSG00000049878 
RORalpha 	 ENSMUSG00000032238 
RORbeta-B 	 ENSMUSG00000036192 
RORgamma 	 ENSMUSG00000028150 
RREB1 	 ENSMUSG00000039087 
RXRalpha 	 ENSMUSG00000015846 
RXRbeta 	 ENSMUSG00000039656 
RXRgamma 	 ENSMUSG00000015843 
RelA 	 ENSMUSG00000024927 
RelB 	 ENSMUSG00000002983 
Runx1 	 ENSMUSG00000022952 
Runx2 	 ENSMUSG00000039153 
Runx3 	 ENSMUSG00000070691 
SALL1 	 ENSMUSG00000031665 
SALL2 	 ENSMUSG00000049532 
SALL3 	 ENSMUSG00000024565 
SALL4 	 ENSMUSG00000027547 
SATB1 	 ENSMUSG00000023927 
SATB2 	 ENSMUSG00000038331 
SCRT1 	 ENSMUSG00000048385 
SCRT2 	 ENSMUSG00000060257 
SCX 	 ENSMUSG00000034161 
SEBOX 	 ENSMUSG00000001103 
SEF2 	 ENSMUSG00000053477 
SHOX2 	 ENSMUSG00000027833 
SIM1 	 ENSMUSG00000019913 
SIM2 	 ENSMUSG00000062713 
SIX1 	 ENSMUSG00000051367 
SIX2 	 ENSMUSG00000024134 
SIX3 	 ENSMUSG00000038805 
SIX4 	 ENSMUSG00000034460 
SIX5 	 ENSMUSG00000040841 
SIX6 	 ENSMUSG00000021099 
SMAD1 	 ENSMUSG00000031681 
SMAD2 	 ENSMUSG00000024563 
SMAD3 	 ENSMUSG00000032402 
SMAD4 	 ENSMUSG00000024515 
SMAD5 	 ENSMUSG00000021540 
SMAD6 	 ENSMUSG00000036867 
SMAD7 	 ENSMUSG00000025880 
SMAD9 	 ENSMUSG00000027796 
SMARCA1 	 ENSMUSG00000031099 
SMARCA5 	 ENSMUSG00000031715 
SMARCC1 	 ENSMUSG00000032481 
SMARCC2 	 ENSMUSG00000025369 
SMARCE1 	 ENSMUSG00000037935 
SMYC 	 ENSMUSG00000044597 
SNAI1 	 ENSMUSG00000042821 
SNAI2 	 ENSMUSG00000022676 
SNAI3 	 ENSMUSG00000006587 
SNAPc4 	 ENSMUSG00000036281 
SOHLH1 	 ENSMUSG00000059625 
SOHLH2 	 ENSMUSG00000027794 
SOX1 	 ENSMUSG00000096014 
SOX10 	 ENSMUSG00000033006 
SOX11 	 ENSMUSG00000063632 
SOX12 	 ENSMUSG00000051817 
SOX13 	 ENSMUSG00000070643 
SOX14 	 ENSMUSG00000053747 
SOX15 	 ENSMUSG00000041287 
SOX17 	 ENSMUSG00000025902 
SOX18 	 ENSMUSG00000046470 
SOX2 	 ENSMUSG00000074637 
SOX21 	 ENSMUSG00000061517 
SOX3 	 ENSMUSG00000045179 
SOX30 	 ENSMUSG00000040489 
SOX4 	 ENSMUSG00000076431 
SOX5 	 ENSMUSG00000041540 
SOX6 	 ENSMUSG00000051910 
SOX7 	 ENSMUSG00000063060 
SOX8 	 ENSMUSG00000024176 
SOX9 	 ENSMUSG00000000567 
SPDEF 	 ENSMUSG00000024215 
SPI1 	 ENSMUSG00000002111 
SPIB 	 ENSMUSG00000008193 
SPIC 	 ENSMUSG00000004359 
SREBF1 	 ENSMUSG00000020538 
SREBF2 	 ENSMUSG00000022463 
SRF 	 ENSMUSG00000015605 
SRY 	 ENSMUSG00000069036 
SSRP1 	 ENSMUSG00000027067 
ST18 	 ENSMUSG00000033740 
STAT1 	 ENSMUSG00000026104 
STAT2 	 ENSMUSG00000040033 
STAT3 	 ENSMUSG00000004040 
STAT4 	 ENSMUSG00000062939 
STAT5A 	 ENSMUSG00000004043 
STAT5B 	 ENSMUSG00000020919 
STAT6 	 ENSMUSG00000002147 
Sp1 	 ENSMUSG00000001280 
Sp100 	 ENSMUSG00000026222 
Sp100 	 ENSMUSG00000094514 
Sp100-UProt> rdf:type owl:Class ;	<http://sybig.de/tfclass#Mus_musculus_Sp100> rdf:type owl:Class ;	<http://sybig.de/tfclass#Mus_musculus_NFKB1 	 ENSMUSG00000028163 
Sp110 	 ENSMUSG00000070034 
Sp110-1 	 ENSMUSG00000094799 
Sp110-2 	 ENSMUSG00000079808 
Sp140 	 ENSMUSG00000070031 
Sp140 	 ENSMUSG00000089844 
Sp140-1 	 ENSMUSG00000079794 
Sp140-2 	 ENSMUSG00000079192 
Sp140-3 	 ENSMUSG00000095500 
Sp140-4 	 ENSMUSG00000079190 
Sp2 	 ENSMUSG00000018678 
Sp3 	 ENSMUSG00000027109 
Sp4 	 ENSMUSG00000025323 
Sp5 	 ENSMUSG00000075304 
Sp6 	 ENSMUSG00000038560 
Sp7 	 ENSMUSG00000060284 
Sp8 	 ENSMUSG00000048562 
Sp9 	 ENSMUSG00000068859 
T3Ralpha 	 ENSMUSG00000058756 
T3Rbeta 	 ENSMUSG00000021779 
TADA2A 	 ENSMUSG00000018651 
TADA2B 	 ENSMUSG00000029196 
TAF1 	 ENSMUSG00000031314 
TAL1 	 ENSMUSG00000028717 
TAL2 	 ENSMUSG00000028417 
TBP 	 ENSMUSG00000014767 
TBPL1 	 ENSMUSG00000071359 
TBPL2 	 ENSMUSG00000061809 
TBX1 	 ENSMUSG00000009097 
TBX10 	 ENSMUSG00000037477 
TBX15 	 ENSMUSG00000027868 
TBX18 	 ENSMUSG00000032419 
TBX19 	 ENSMUSG00000026572 
TBX2 	 ENSMUSG00000000093 
TBX20 	 ENSMUSG00000031965 
TBX22 	 ENSMUSG00000031241 
TBX3 	 ENSMUSG00000018604 
TBX4 	 ENSMUSG00000000094 
TBX5 	 ENSMUSG00000018263 
TBX6 	 ENSMUSG00000030699 
TCF21 	 ENSMUSG00000045680 
TCF23 	 ENSMUSG00000006642 
TCF25 	 ENSMUSG00000001472 
TCF7 	 ENSMUSG00000000782 
TCF7L1 	 ENSMUSG00000055799 
TCF7L2 	 ENSMUSG00000024985 
TCFL5 	 ENSMUSG00000038932 
TEAD1 	 ENSMUSG00000055320 
TEAD2 	 ENSMUSG00000030796 
TEAD3 	 ENSMUSG00000002249 
TEAD4 	 ENSMUSG00000030353 
TEF 	 ENSMUSG00000022389 
TET1 	 ENSMUSG00000034832 
TET1 	 ENSMUSG00000047146 
TFAM 	 ENSMUSG00000003923 
TFE3 	 ENSMUSG00000000134 
TFEB 	 ENSMUSG00000023990 
TFEC 	 ENSMUSG00000029553 
TGIF1 	 ENSMUSG00000047407 
TGIF2 	 ENSMUSG00000045842 
TGIF2 	 ENSMUSG00000062175 
TGIF2LX 	 ENSMUSG00000061283 
TGIF2LX 	 ENSMUSG00000063242 
THAP1 	 ENSMUSG00000037214 
THAP11 	 ENSMUSG00000036442 
THAP2 	 ENSMUSG00000020137 
THAP3 	 ENSMUSG00000039759 
THAP4 	 ENSMUSG00000026279 
THAP7 	 ENSMUSG00000022760 
TLX 	 ENSMUSG00000019803 
TLX1 	 ENSMUSG00000025215 
TLX2 	 ENSMUSG00000068327 
TLX3 	 ENSMUSG00000040610 
TOX 	 ENSMUSG00000041272 
TOX2 	 ENSMUSG00000074607 
TOX3 	 ENSMUSG00000043668 
TOX4 	 ENSMUSG00000016831 
TOX4 	 ENSMUSG00000091020 
TR2 	 ENSMUSG00000005897 
TR4 	 ENSMUSG00000005893 
TRERF1 	 ENSMUSG00000064043 
TRPS1 	 ENSMUSG00000038679 
TSHZ1 	 ENSMUSG00000046982 
TSHZ2 	 ENSMUSG00000047907 
TSHZ3 	 ENSMUSG00000021217 
TWIST1 	 ENSMUSG00000035799 
UBF 	 ENSMUSG00000020923 
UBP1 	 ENSMUSG00000009741 
UBTFL1 	 ENSMUSG00000074502 
UNCX 	 ENSMUSG00000029546 
USF1 	 ENSMUSG00000026641 
USF2 	 ENSMUSG00000058239 
VAX1 	 ENSMUSG00000006270 
VAX2 	 ENSMUSG00000034777 
VDR 	 ENSMUSG00000022479 
VEZF1 	 ENSMUSG00000018377 
VEZF1 	 ENSMUSG00000098546 
VSX1 	 ENSMUSG00000033080 
VSX2 	 ENSMUSG00000021239 
WHSC1 	 ENSMUSG00000057406 
WIZ 	 ENSMUSG00000024050 
WT1 	 ENSMUSG00000016458 
XBP1 	 ENSMUSG00000020484 
YB1 	 ENSMUSG00000028639 
YBX2 	 ENSMUSG00000018554 
YY1 	 ENSMUSG00000021264 
YY2 	 ENSMUSG00000091736 
ZBED3 	 ENSMUSG00000041995 
ZBED4 	 ENSMUSG00000034333 
ZBED5 	 ENSMUSG00000034173 
ZBED6 	 ENSMUSG00000094410 
ZBTB1 	 ENSMUSG00000033454 
ZBTB11 	 ENSMUSG00000022601 
ZBTB12 	 ENSMUSG00000049823 
ZBTB16 	 ENSMUSG00000066687 
ZBTB17 	 ENSMUSG00000006215 
ZBTB2 	 ENSMUSG00000075327 
ZBTB20 	 ENSMUSG00000022708 
ZBTB22 	 ENSMUSG00000051390 
ZBTB24 	 ENSMUSG00000019826 
ZBTB25 	 ENSMUSG00000056459 
ZBTB26 	 ENSMUSG00000050714 
ZBTB32 	 ENSMUSG00000006310 
ZBTB33 	 ENSMUSG00000048047 
ZBTB34 	 ENSMUSG00000068966 
ZBTB37 	 ENSMUSG00000043467 
ZBTB38 	 ENSMUSG00000040433 
ZBTB39 	 ENSMUSG00000044617 
ZBTB4 	 ENSMUSG00000018750 
ZBTB40 	 ENSMUSG00000060862 
ZBTB41 	 ENSMUSG00000033964 
ZBTB42 	 ENSMUSG00000037638 
ZBTB43 	 ENSMUSG00000026788 
ZBTB44 	 ENSMUSG00000047412 
ZBTB45 	 ENSMUSG00000049600 
ZBTB46 	 ENSMUSG00000027583 
ZBTB47 	 ENSMUSG00000013419 
ZBTB48 	 ENSMUSG00000028952 
ZBTB49 	 ENSMUSG00000029127 
ZBTB5 	 ENSMUSG00000049657 
ZBTB6 	 ENSMUSG00000066798 
ZBTB7A 	 ENSMUSG00000035011 
ZBTB7B 	 ENSMUSG00000028042 
ZBTB7B 	 ENSMUSG00000096192 
ZBTB7C 	 ENSMUSG00000044646 
ZBTB8B 	 ENSMUSG00000048485 
ZC3H4 	 ENSMUSG00000059273 
ZC3H6 	 ENSMUSG00000042851 
ZC3H8 	 ENSMUSG00000027387 
ZEB1 	 ENSMUSG00000024238 
ZEB2 	 ENSMUSG00000026872 
ZFAT 	 ENSMUSG00000022335 
ZFHX2 	 ENSMUSG00000040721 
ZFHX3 	 ENSMUSG00000038872 
ZFHX4 	 ENSMUSG00000025255 
ZFP1 	 ENSMUSG00000055835 
ZFP14 	 ENSMUSG00000053985 
ZFP161 	 ENSMUSG00000049672 
ZFP2 	 ENSMUSG00000049321 
ZFP28 	 ENSMUSG00000062861 
ZFP3 	 ENSMUSG00000043602 
ZFP30 	 ENSMUSG00000047473 
ZFP37 	 ENSMUSG00000028389 
ZFP41 	 ENSMUSG00000047003 
ZFP42 	 ENSMUSG00000051176 
ZFP57 	 ENSMUSG00000036036 
ZFP62 	 ENSMUSG00000046311 
ZFP62 	 ENSMUSG00000055480 
ZFP64 	 ENSMUSG00000027551 
ZFP82 	 ENSMUSG00000098022 
ZFP90 	 ENSMUSG00000031907 
ZFP91 	 ENSMUSG00000024695 
ZFP92 	 ENSMUSG00000031374 
ZFPM1 	 ENSMUSG00000049577 
ZFPM2 	 ENSMUSG00000022306 
ZFX 	 ENSMUSG00000079509 
ZGLP1 	 ENSMUSG00000079681 
ZGPAT 	 ENSMUSG00000027582 
ZHX1 	 ENSMUSG00000022361 
ZHX2 	 ENSMUSG00000071757 
ZHX3 	 ENSMUSG00000035877 
ZIC1 	 ENSMUSG00000032368 
ZIC2 	 ENSMUSG00000061524 
ZIC3 	 ENSMUSG00000067860 
ZIC4 	 ENSMUSG00000036972 
ZIC5 	 ENSMUSG00000041703 
ZIK1 	 ENSMUSG00000030393 
ZKSCAN1 	 ENSMUSG00000029729 
ZKSCAN2 	 ENSMUSG00000030757 
ZKSCAN3 	 ENSMUSG00000021327 
ZKSCAN4 	 ENSMUSG00000054931 
ZKSCAN5 	 ENSMUSG00000055991 
ZNF131 	 ENSMUSG00000094870 
ZNF14 	 ENSMUSG00000091388 
ZNF142 	 ENSMUSG00000026135 
ZNF143 	 ENSMUSG00000061079 
ZNF146 	 ENSMUSG00000037029 
ZNF148 	 ENSMUSG00000022811 
ZNF167 	 ENSMUSG00000063488 
ZNF169 	 ENSMUSG00000050954 
ZNF174 	 ENSMUSG00000054939 
ZNF18 	 ENSMUSG00000018347 
ZNF180 	 ENSMUSG00000057101 
ZNF182 	 ENSMUSG00000054737 
ZNF184 	 ENSMUSG00000006720 
ZNF187 	 ENSMUSG00000022228 
ZNF189 	 ENSMUSG00000039634 
ZNF192 	 ENSMUSG00000063894 
ZNF2 	 ENSMUSG00000034800 
ZNF202 	 ENSMUSG00000025602 
ZNF205 	 ENSMUSG00000062012 
ZNF212 	 ENSMUSG00000052763 
ZNF213 	 ENSMUSG00000071256 
ZNF217 	 ENSMUSG00000052056 
ZNF219 	 ENSMUSG00000049295 
ZNF22 	 ENSMUSG00000059878 
ZNF226 	 ENSMUSG00000087598 
ZNF235 	 ENSMUSG00000030486 
ZNF235 	 ENSMUSG00000047603 
ZNF235 	 ENSMUSG00000055305 
ZNF236 	 ENSMUSG00000041258 
ZNF238 	 ENSMUSG00000063659 
ZNF239 	 ENSMUSG00000042097 
ZNF24 	 ENSMUSG00000051469 
ZNF248 	 ENSMUSG00000030145 
ZNF25 	 ENSMUSG00000072623 
ZNF250 	 ENSMUSG00000044676 
ZNF250 	 ENSMUSG00000054967 
ZNF251 	 ENSMUSG00000022526 
ZNF260 	 ENSMUSG00000049421 
ZNF263 	 ENSMUSG00000022529 
ZNF266 	 ENSMUSG00000059475 
ZNF268ortholog 	 ENSMUSG00000058186 
ZNF268ortholog 	 ENSMUSG00000065999 
ZNF268ortholog 	 ENSMUSG00000066009 
ZNF268ortholog 	 ENSMUSG00000067916 
ZNF268ortholog 	 ENSMUSG00000078495 
ZNF268ortholog 	 ENSMUSG00000078498 
ZNF268ortholog 	 ENSMUSG00000078502 
ZNF268ortholog 	 ENSMUSG00000078503 
ZNF268ortholog 	 ENSMUSG00000086147 
ZNF268ortholog 	 ENSMUSG00000096433 
ZNF274 	 ENSMUSG00000021514 
ZNF274 	 ENSMUSG00000058638 
ZNF275 	 ENSMUSG00000031365 
ZNF276 	 ENSMUSG00000001065 
ZNF277 	 ENSMUSG00000055917 
ZNF280B 	 ENSMUSG00000049764 
ZNF280C 	 ENSMUSG00000036916 
ZNF280D 	 ENSMUSG00000038535 
ZNF281 	 ENSMUSG00000041483 
ZNF282 	 ENSMUSG00000025821 
ZNF286A 	 ENSMUSG00000047342 
ZNF287 	 ENSMUSG00000005267 
ZNF292 	 ENSMUSG00000039967 
ZNF295 	 ENSMUSG00000046962 
ZNF296 	 ENSMUSG00000011267 
ZNF3 	 ENSMUSG00000037007 
ZNF316 	 ENSMUSG00000046658 
ZNF317 	 ENSMUSG00000057551 
ZNF319 	 ENSMUSG00000046556 
ZNF32 	 ENSMUSG00000059689 
ZNF322A 	 ENSMUSG00000046351 
ZNF324 	 ENSMUSG00000004500 
ZNF329 	 ENSMUSG00000057894 
ZNF334 	 ENSMUSG00000017667 
ZNF335 	 ENSMUSG00000039834 
ZNF341 	 ENSMUSG00000059842 
ZNF35 	 ENSMUSG00000057895 
ZNF354A 	 ENSMUSG00000020364 
ZNF354B 	 ENSMUSG00000020335 
ZNF354C 	 ENSMUSG00000044807 
ZNF358 	 ENSMUSG00000047264 
ZNF362 	 ENSMUSG00000028799 
ZNF366 	 ENSMUSG00000050919 
ZNF382 	 ENSMUSG00000074220 
ZNF384 	 ENSMUSG00000038346 
ZNF394 	 ENSMUSG00000029627 
ZNF397 	 ENSMUSG00000024276 
ZNF398 	 ENSMUSG00000062519 
ZNF407 	 ENSMUSG00000048410 
ZNF408 	 ENSMUSG00000075040 
ZNF410 	 ENSMUSG00000042472 
ZNF414 	 ENSMUSG00000073423 
ZNF419 	 ENSMUSG00000066838 
ZNF420 	 ENSMUSG00000058402 
ZNF423 	 ENSMUSG00000045333 
ZNF431 	 ENSMUSG00000066613 
ZNF431 	 ENSMUSG00000068130 
ZNF431 	 ENSMUSG00000072762 
ZNF431 	 ENSMUSG00000072763 
ZNF431 	 ENSMUSG00000074158 
ZNF431 	 ENSMUSG00000074731 
ZNF431 	 ENSMUSG00000078866 
ZNF431 	 ENSMUSG00000078868 
ZNF431 	 ENSMUSG00000090015 
ZNF431 	 ENSMUSG00000095193 
ZNF431 	 ENSMUSG00000095909 
ZNF431 	 ENSMUSG00000095990 
ZNF431 	 ENSMUSG00000096696 
ZNF431 	 ENSMUSG00000096795 
ZNF436 	 ENSMUSG00000051351 
ZNF438 	 ENSMUSG00000050945 
ZNF444 	 ENSMUSG00000044876 
ZNF444 	 ENSMUSG00000055991 
ZNF445 	 ENSMUSG00000047036 
ZNF446 	 ENSMUSG00000033961 
ZNF449 	 ENSMUSG00000073176 
ZNF45 	 ENSMUSG00000074282 
ZNF451 	 ENSMUSG00000042197 
ZNF454 	 ENSMUSG00000048728 
ZNF462 	 ENSMUSG00000060206 
ZNF467 	 ENSMUSG00000068551 
ZNF469 	 ENSMUSG00000043903 
ZNF479 	 ENSMUSG00000030446 
ZNF48 	 ENSMUSG00000045598 
ZNF48 	 ENSMUSG00000047044 
ZNF483 	 ENSMUSG00000038630 
ZNF496 	 ENSMUSG00000020472 
ZNF498 	 ENSMUSG00000070420 
ZNF507 	 ENSMUSG00000044452 
ZNF511 	 ENSMUSG00000025470 
ZNF512 	 ENSMUSG00000062761 
ZNF512B 	 ENSMUSG00000000823 
ZNF513 	 ENSMUSG00000043059 
ZNF516 	 ENSMUSG00000058881 
ZNF518A 	 ENSMUSG00000049164 
ZNF518B 	 ENSMUSG00000046572 
ZNF521 	 ENSMUSG00000024420 
ZNF524 	 ENSMUSG00000051184 
ZNF526 	 ENSMUSG00000046541 
ZNF530 	 ENSMUSG00000034071 
ZNF532 	 ENSMUSG00000042439 
ZNF536 	 ENSMUSG00000043456 
ZNF541 	 ENSMUSG00000078796 
ZNF546 	 ENSMUSG00000051034 
ZNF546 	 ENSMUSG00000090641 
ZNF564 	 ENSMUSG00000068959 
ZNF564 	 ENSMUSG00000074165 
ZNF566 	 ENSMUSG00000078768 
ZNF568 	 ENSMUSG00000074221 
ZNF569 	 ENSMUSG00000059975 
ZNF574 	 ENSMUSG00000045252 
ZNF575 	 ENSMUSG00000066721 
ZNF579 	 ENSMUSG00000051550 
ZNF580 	 ENSMUSG00000055633 
ZNF583 	 ENSMUSG00000030443 
ZNF592 	 ENSMUSG00000005621 
ZNF597 	 ENSMUSG00000039789 
ZNF605 	 ENSMUSG00000023284 
ZNF606 	 ENSMUSG00000030386 
ZNF618 	 ENSMUSG00000028358 
ZNF623 	 ENSMUSG00000050846 
ZNF624 	 ENSMUSG00000074865 
ZNF624 	 ENSMUSG00000074867 
ZNF624 	 ENSMUSG00000091183 
ZNF628 	 ENSMUSG00000074406 
ZNF629 	 ENSMUSG00000045639 
ZNF639 	 ENSMUSG00000027667 
ZNF641 	 ENSMUSG00000022987 
ZNF642 	 ENSMUSG00000064141 
ZNF644 	 ENSMUSG00000049606 
ZNF646 	 ENSMUSG00000049739 
ZNF648 	 ENSMUSG00000066797 
ZNF652 	 ENSMUSG00000075595 
ZNF653 	 ENSMUSG00000038895 
ZNF654 	 ENSMUSG00000047141 
ZNF655 	 ENSMUSG00000007812 
ZNF664 	 ENSMUSG00000079215 
ZNF667 	 ENSMUSG00000054893 
ZNF668 	 ENSMUSG00000049728 
ZNF672 	 ENSMUSG00000049755 
ZNF682 	 ENSMUSG00000033883 
ZNF683 	 ENSMUSG00000049410 
ZNF687 	 ENSMUSG00000019338 
ZNF689 	 ENSMUSG00000048921 
ZNF691 	 ENSMUSG00000045268 
ZNF692 	 ENSMUSG00000037243 
ZNF697 	 ENSMUSG00000050064 
ZNF7 	 ENSMUSG00000033669 
ZNF707 	 ENSMUSG00000034429 
ZNF709 	 ENSMUSG00000074472 
ZNF710 	 ENSMUSG00000048897 
ZNF711 	 ENSMUSG00000025529 
ZNF717 	 ENSMUSG00000032425 
ZNF740 	 ENSMUSG00000046897 
ZNF746 	 ENSMUSG00000057691 
ZNF76 	 ENSMUSG00000024220 
ZNF764 	 ENSMUSG00000030823 
ZNF764 	 ENSMUSG00000045757 
ZNF764 	 ENSMUSG00000054381 
ZNF764 	 ENSMUSG00000078580 
ZNF768 	 ENSMUSG00000047371 
ZNF770 	 ENSMUSG00000040321 
ZNF771 	 ENSMUSG00000054716 
ZNF775 	 ENSMUSG00000007216 
ZNF777 	 ENSMUSG00000071477 
ZNF780A 	 ENSMUSG00000021510 
ZNF780A 	 ENSMUSG00000048280 
ZNF780A 	 ENSMUSG00000058093 
ZNF780A 	 ENSMUSG00000095432 
ZNF780AB 	 ENSMUSG00000020420 
ZNF780AB 	 ENSMUSG00000037640 
ZNF780AB 	 ENSMUSG00000070709 
ZNF780AB 	 ENSMUSG00000078779 
ZNF780AB 	 ENSMUSG00000096916 
ZNF780B 	 ENSMUSG00000063047 
ZNF781 	 ENSMUSG00000057924 
ZNF781 	 ENSMUSG00000060149 
ZNF781 	 ENSMUSG00000074527 
ZNF781 	 ENSMUSG00000078861 
ZNF781 	 ENSMUSG00000078864 
ZNF781 	 ENSMUSG00000078894 
ZNF781 	 ENSMUSG00000079038 
ZNF781 	 ENSMUSG00000094622 
ZNF781 	 ENSMUSG00000096718 
ZNF784 	 ENSMUSG00000043290 
ZNF786 	 ENSMUSG00000051499 
ZNF787 	 ENSMUSG00000046792 
ZNF790 	 ENSMUSG00000011427 
ZNF791 	 ENSMUSG00000074194 
ZNF800 	 ENSMUSG00000039841 
ZNF812 	 ENSMUSG00000060510 
ZNF853 	 ENSMUSG00000093910 
ZNF879 	 ENSMUSG00000044296 
ZSCAN10 	 ENSMUSG00000023902 
ZSCAN12 	 ENSMUSG00000036721 
ZSCAN2 	 ENSMUSG00000038797 
ZSCAN20 	 ENSMUSG00000061894 
ZSCAN21 	 ENSMUSG00000037017 
ZSCAN22 	 ENSMUSG00000054715 
ZSCAN29 	 ENSMUSG00000050619 
ZSCAN4 	 ENSMUSG00000054272 
ZSCAN4 	 ENSMUSG00000070828 
ZSCAN4 	 ENSMUSG00000090714 
ZSCAN4 	 ENSMUSG00000095339 
ZSCAN4 	 ENSMUSG00000095936 
ZSCAN5 	 ENSMUSG00000058028 
ZXDB 	 ENSMUSG00000073062 
ZXDC 	 ENSMUSG00000034430 
c-Fos 	 ENSMUSG00000021250 
c-Jun 	 ENSMUSG00000052684 
c-MAF 	 ENSMUSG00000055435 
cMYC 	 ENSMUSG00000022346 
cRel 	 ENSMUSG00000020275 
p53 	 ENSMUSG00000059552 
p63 	 ENSMUSG00000022510 
p73 	 ENSMUSG00000029026 
