A-MYB 	 ENSG00000185697 
RBPJ 	 ENSG00000168214 
RBPJL 	 ENSG00000124232 
RC3H2 	 ENSG00000056586 
RCoR1 	 ENSG00000089902 
RCoR2 	 ENSG00000167771 
RCoR3 	 ENSG00000117625 
RERE 	 ENSG00000142599 
REST 	 ENSG00000084093 
REVERBAalpha> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_REVERBAalpha 	 ENSG00000126368 
REVERBAbeta 	 ENSG00000174738 
RFX1 	 ENSG00000132005 
RFX2 	 ENSG00000087903 
RFX3 	 ENSG00000080298 
RFX4 	 ENSG00000111783 
RFX5 	 ENSG00000143390 
RFX6 	 ENSG00000185002 
RFX7 	 ENSG00000181827 
RFX8 	 ENSG00000196460 
RFXANK 	 ENSG00000064490 
RFXAP 	 ENSG00000133111 
RHOXF1 	 ENSG00000101883 
RHOXF2 	 ENSG00000131721 
RHOXF2 	 ENSG00000203989 
RLF 	 ENSG00000117000 
RORalpha 	 ENSG00000069667 
RORbeta> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RORbeta> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RORbeta 	 ENSG00000198963 
RORgamma 	 ENSG00000143365 
RREB1 	 ENSG00000124782 
RXRalpha 	 ENSG00000186350 
RXRbeta 	 ENSG00000204231 
RXRgamma> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RXRbeta> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RXRgamma 	 ENSG00000143171 
RelA 	 ENSG00000173039 
RelB 	 ENSG00000104856 
Runx1 	 ENSG00000159216 
Runx2 	 ENSG00000124813 
Runx3 	 ENSG00000020633 
SALL1 	 ENSG00000103449 
SALL2 	 ENSG00000165821 
SALL3 	 ENSG00000256463 
SALL4 	 ENSG00000101115 
SATB1 	 ENSG00000182568 
SATB2 	 ENSG00000119042 
SCRT1 	 ENSG00000170616 
SCRT2 	 ENSG00000215397 
SCX 	 ENSG00000188686 
SEBOX 	 ENSG00000263225 
SEF2 	 ENSG00000196628 
SHOX 	 ENSG00000185960 
SHOX2 	 ENSG00000168779 
SIM1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_SIM1 	 ENSG00000112246 
SIM2 	 ENSG00000159263 
SIX1 	 ENSG00000126778 
SIX2 	 ENSG00000170577 
SIX3 	 ENSG00000138083 
SIX4 	 ENSG00000100625 
SIX5 	 ENSG00000177045 
SIX6 	 ENSG00000184302 
SMAD1 	 ENSG00000170365 
SMAD2 	 ENSG00000175387 
SMAD3 	 ENSG00000166949 
SMAD4 	 ENSG00000141646 
SMAD5 	 ENSG00000113658 
SMAD6 	 ENSG00000137834 
SMAD7 	 ENSG00000101665 
SMAD9 	 ENSG00000120693 
SMARCA1 	 ENSG00000102038 
SMARCA5 	 ENSG00000153147 
SMARCC1 	 ENSG00000173473 
SMARCC2 	 ENSG00000139613 
SMARCE1 	 ENSG00000073584 
SNAI1 	 ENSG00000124216 
SNAI2 	 ENSG00000019549 
SNAI3 	 ENSG00000185669 
SNAPc4 	 ENSG00000165684 
SOHLH1 	 ENSG00000165643 
SOHLH2 	 ENSG00000120669 
SOHLH2 	 ENSG00000250709 
SOX1 	 ENSG00000182968 
SOX10 	 ENSG00000100146 
SOX11 	 ENSG00000176887 
SOX12 	 ENSG00000177732 
SOX13 	 ENSG00000143842 
SOX14 	 ENSG00000168875 
SOX15 	 ENSG00000129194 
SOX17 	 ENSG00000164736 
SOX18 	 ENSG00000203883 
SOX2 	 ENSG00000181449 
SOX21 	 ENSG00000125285 
SOX3 	 ENSG00000134595 
SOX30 	 ENSG00000039600 
SOX4 	 ENSG00000124766 
SOX5 	 ENSG00000134532 
SOX6 	 ENSG00000110693 
SOX7 	 ENSG00000171056 
SOX8 	 ENSG00000005513 
SOX9 	 ENSG00000125398 
SPDEF 	 ENSG00000124664 
SPI1 	 ENSG00000066336 
SPIB 	 ENSG00000142539 
SPIB 	 ENSG00000269404 
SPIC 	 ENSG00000166211 
SREBF1 	 ENSG00000072310 
SREBF2 	 ENSG00000198911 
SRF 	 ENSG00000112658 
SRY 	 ENSG00000184895 
SSRP1 	 ENSG00000149136 
ST18 	 ENSG00000147488 
STAT1 	 ENSG00000115415 
STAT2 	 ENSG00000170581 
STAT3 	 ENSG00000168610 
STAT4 	 ENSG00000138378 
STAT5A 	 ENSG00000126561 
STAT5B 	 ENSG00000173757 
STAT6 	 ENSG00000166888 
Sp1 	 ENSG00000185591 
Sp100 	 ENSG00000067066 
Sp100-UProt> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_Sp100> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_NFKB1 	 ENSG00000109320 
Sp110 	 ENSG00000135899 
Sp140 	 ENSG00000079263 
Sp140L 	 ENSG00000185404 
Sp2 	 ENSG00000167182 
Sp3 	 ENSG00000172845 
Sp4 	 ENSG00000105866 
Sp5 	 ENSG00000204335 
Sp6 	 ENSG00000189120 
Sp7 	 ENSG00000170374 
Sp8 	 ENSG00000164651 
Sp9 	 ENSG00000217236 
T3Rbeta 	 ENSG00000151090 
T3Rbeta> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_T3Ralpha> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_T3Ralpha 	 ENSG00000126351 
TADA2A 	 ENSG00000108264 
TADA2B 	 ENSG00000173011 
TAF1 	 ENSG00000122728 
TAF1 	 ENSG00000147133 
TAL1 	 ENSG00000162367 
TAL2 	 ENSG00000186051 
TBP 	 ENSG00000112592 
TBPL1 	 ENSG00000028839 
TBPL2 	 ENSG00000182521 
TBX1 	 ENSG00000184058 
TBX10 	 ENSG00000167800 
TBX15 	 ENSG00000092607 
TBX18 	 ENSG00000112837 
TBX19 	 ENSG00000143178 
TBX2 	 ENSG00000121068 
TBX20 	 ENSG00000164532 
TBX22 	 ENSG00000122145 
TBX3 	 ENSG00000135111 
TBX4 	 ENSG00000121075 
TBX5 	 ENSG00000089225 
TBX6 	 ENSG00000149922 
TCF21 	 ENSG00000118526 
TCF23 	 ENSG00000163792 
TCF25 	 ENSG00000141002 
TCF7 	 ENSG00000081059 
TCF7L1 	 ENSG00000152284 
TCF7L2 	 ENSG00000148737 
TCFL5 	 ENSG00000101190 
TEAD1 	 ENSG00000187079 
TEAD2 	 ENSG00000074219 
TEAD3 	 ENSG00000007866 
TEAD4 	 ENSG00000197905 
TEF 	 ENSG00000167074 
TET1 	 ENSG00000138336 
TET1 	 ENSG00000187605 
TFE3 	 ENSG00000068323 
TFEB 	 ENSG00000112561 
TFEC 	 ENSG00000105967 
TGIF1 	 ENSG00000177426 
TGIF2 	 ENSG00000118707 
TGIF2LX 	 ENSG00000153779 
TGIF2LY 	 ENSG00000176679 
THAP1 	 ENSG00000131931 
THAP10 	 ENSG00000129028 
THAP11 	 ENSG00000168286 
THAP2 	 ENSG00000173451 
THAP3 	 ENSG00000041988 
THAP4 	 ENSG00000176946 
THAP5 	 ENSG00000177683 
THAP6 	 ENSG00000174796 
THAP7 	 ENSG00000184436 
THAP8 	 ENSG00000161277 
THAP9 	 ENSG00000168152 
TLX 	 ENSG00000112333 
TLX1 	 ENSG00000107807 
TLX2 	 ENSG00000115297 
TLX3 	 ENSG00000164438 
TOX 	 ENSG00000198846 
TOX2 	 ENSG00000124191 
TOX3 	 ENSG00000103460 
TOX4 	 ENSG00000092203 
TPRX1 	 ENSG00000178928 
TPRXL 	 ENSG00000180438 
TR2 	 ENSG00000120798 
TR4 	 ENSG00000177463 
TRERF1 	 ENSG00000124496 
TRPS1 	 ENSG00000104447 
TSHZ1 	 ENSG00000179981 
TSHZ2 	 ENSG00000182463 
TSHZ3 	 ENSG00000121297 
TWIST1 	 ENSG00000122691 
UBF 	 ENSG00000108312 
UBP1 	 ENSG00000153560 
UBTLF1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_TFAM 	 ENSG00000108064 
UNCX 	 ENSG00000164853 
USF1 	 ENSG00000158773 
USF2 	 ENSG00000105698 
VAX1 	 ENSG00000148704 
VAX2 	 ENSG00000116035 
VDR 	 ENSG00000111424 
VENTX 	 ENSG00000151650 
VEZF1 	 ENSG00000136451 
VSX1 	 ENSG00000100987 
VSX2 	 ENSG00000119614 
WHSC1 	 ENSG00000109685 
WIZ 	 ENSG00000011451 
WT1 	 ENSG00000184937 
XBP1 	 ENSG00000100219 
YB1 	 ENSG00000065978 
YBX2 	 ENSG00000006047 
YY1 	 ENSG00000100811 
YY2 	 ENSG00000230797 
ZBED1 	 ENSG00000214717 
ZBED2 	 ENSG00000177494 
ZBED3 	 ENSG00000132846 
ZBED4 	 ENSG00000100426 
ZBED5 	 ENSG00000236287 
ZBED6 	 ENSG00000257315 
ZBTB1 	 ENSG00000126804 
ZBTB11 	 ENSG00000066422 
ZBTB12 	 ENSG00000204366 
ZBTB16 	 ENSG00000109906 
ZBTB17 	 ENSG00000116809 
ZBTB2 	 ENSG00000181472 
ZBTB20 	 ENSG00000181722 
ZBTB22 	 ENSG00000236104 
ZBTB24 	 ENSG00000112365 
ZBTB25 	 ENSG00000089775 
ZBTB26 	 ENSG00000171448 
ZBTB32 	 ENSG00000011590 
ZBTB33 	 ENSG00000177485 
ZBTB34 	 ENSG00000177125 
ZBTB37 	 ENSG00000185278 
ZBTB38 	 ENSG00000177311 
ZBTB39 	 ENSG00000166860 
ZBTB4 	 ENSG00000174282 
ZBTB40 	 ENSG00000184677 
ZBTB41 	 ENSG00000177888 
ZBTB42 	 ENSG00000179627 
ZBTB43 	 ENSG00000169155 
ZBTB44 	 ENSG00000196323 
ZBTB45 	 ENSG00000119574 
ZBTB46 	 ENSG00000130584 
ZBTB47 	 ENSG00000114853 
ZBTB48 	 ENSG00000204859 
ZBTB49 	 ENSG00000168826 
ZBTB5 	 ENSG00000168795 
ZBTB6 	 ENSG00000186130 
ZBTB7B 	 ENSG00000160685 
ZBTB7C 	 ENSG00000184828 
ZBTB8B 	 ENSG00000273274 
ZC3H4 	 ENSG00000130749 
ZC3H6 	 ENSG00000188177 
ZC3H8 	 ENSG00000144161 
ZEB1 	 ENSG00000148516 
ZEB2 	 ENSG00000169554 
ZFAT 	 ENSG00000066827 
ZFHX2 	 ENSG00000136367 
ZFHX3 	 ENSG00000140836 
ZFHX4 	 ENSG00000091656 
ZFP1 	 ENSG00000184517 
ZFP14 	 ENSG00000142065 
ZFP161 	 ENSG00000198081 
ZFP2 	 ENSG00000198939 
ZFP28 	 ENSG00000196867 
ZFP3 	 ENSG00000180787 
ZFP30 	 ENSG00000120784 
ZFP37 	 ENSG00000136866 
ZFP41 	 ENSG00000264668 
ZFP42 	 ENSG00000179059 
ZFP57 	 ENSG00000204644 
ZFP62 	 ENSG00000196670 
ZFP64 	 ENSG00000020256 
ZFP82 	 ENSG00000181007 
ZFP90 	 ENSG00000184939 
ZFP91 	 ENSG00000186660 
ZFP92 	 ENSG00000189420 
ZFPM1 	 ENSG00000179588 
ZFPM2 	 ENSG00000169946 
ZFX 	 ENSG00000005889 
ZFX 	 ENSG00000067646 
ZGLP1 	 ENSG00000220201 
ZGPAT 	 ENSG00000197114 
ZHX1 	 ENSG00000165156 
ZHX2 	 ENSG00000178764 
ZHX3 	 ENSG00000174306 
ZIC1 	 ENSG00000152977 
ZIC2 	 ENSG00000043355 
ZIC3 	 ENSG00000156925 
ZIC4 	 ENSG00000174963 
ZIC5 	 ENSG00000139800 
ZIK1 	 ENSG00000171649 
ZIM2 	 ENSG00000269699 
ZIM3 	 ENSG00000141946 
ZKSCAN1 	 ENSG00000106261 
ZKSCAN2 	 ENSG00000155592 
ZKSCAN3 	 ENSG00000189298 
ZKSCAN4 	 ENSG00000187626 
ZKSCAN5 	 ENSG00000196652 
ZNF10 	 ENSG00000256223 
ZNF101 	 ENSG00000181896 
ZNF107 	 ENSG00000196247 
ZNF114 	 ENSG00000178150 
ZNF121 	 ENSG00000197961 
ZNF124 	 ENSG00000196418 
ZNF131 	 ENSG00000172262 
ZNF132 	 ENSG00000131849 
ZNF133 	 ENSG00000125846 
ZNF134 	 ENSG00000213762 
ZNF135 	 ENSG00000176293 
ZNF136 	 ENSG00000196646 
ZNF138 	 ENSG00000197008 
ZNF14 	 ENSG00000105708 
ZNF140 	 ENSG00000196387 
ZNF141 	 ENSG00000131127 
ZNF142 	 ENSG00000115568 
ZNF143 	 ENSG00000166478 
ZNF146 	 ENSG00000167635 
ZNF148 	 ENSG00000163848 
ZNF154 	 ENSG00000179909 
ZNF155 	 ENSG00000204920 
ZNF157 	 ENSG00000147117 
ZNF16 	 ENSG00000170631 
ZNF160 	 ENSG00000170949 
ZNF165 	 ENSG00000197279 
ZNF167 	 ENSG00000178917 
ZNF167 	 ENSG00000196345 
ZNF169 	 ENSG00000175787 
ZNF17 	 ENSG00000186272 
ZNF174 	 ENSG00000103343 
ZNF175 	 ENSG00000105497 
ZNF177 	 ENSG00000188629 
ZNF177 	 ENSG00000270011 
ZNF18 	 ENSG00000154957 
ZNF180 	 ENSG00000167384 
ZNF181 	 ENSG00000197841 
ZNF182 	 ENSG00000147118 
ZNF184 	 ENSG00000096654 
ZNF189 	 ENSG00000136870 
ZNF19 	 ENSG00000157429 
ZNF192 	 ENSG00000198315 
ZNF193 	 ENSG00000137185 
ZNF195 	 ENSG00000005801 
ZNF197 	 ENSG00000186448 
ZNF2 	 ENSG00000163067 
ZNF20 	 ENSG00000132010 
ZNF200 	 ENSG00000010539 
ZNF202 	 ENSG00000166261 
ZNF205 	 ENSG00000122386 
ZNF208 	 ENSG00000160321 
ZNF211 	 ENSG00000121417 
ZNF212 	 ENSG00000170260 
ZNF213 	 ENSG00000085644 
ZNF214 	 ENSG00000149050 
ZNF215 	 ENSG00000149054 
ZNF217 	 ENSG00000171940 
ZNF219 	 ENSG00000165804 
ZNF22 	 ENSG00000165512 
ZNF221 	 ENSG00000159905 
ZNF222 	 ENSG00000159885 
ZNF224 	 ENSG00000267680 
ZNF225 	 ENSG00000256294 
ZNF226 	 ENSG00000167380 
ZNF227 	 ENSG00000131115 
ZNF229 	 ENSG00000167383 
ZNF230 	 ENSG00000159882 
ZNF232 	 ENSG00000167840 
ZNF233 	 ENSG00000159915 
ZNF234 	 ENSG00000263002 
ZNF235 	 ENSG00000159917 
ZNF236 	 ENSG00000130856 
ZNF238 	 ENSG00000179456 
ZNF239 	 ENSG00000196793 
ZNF24 	 ENSG00000172466 
ZNF248 	 ENSG00000198105 
ZNF25 	 ENSG00000175395 
ZNF250 	 ENSG00000167377 
ZNF250 	 ENSG00000196150 
ZNF251 	 ENSG00000198169 
ZNF256 	 ENSG00000152454 
ZNF26 	 ENSG00000198393 
ZNF260 	 ENSG00000254004 
ZNF263 	 ENSG00000006194 
ZNF264 	 ENSG00000083844 
ZNF266 	 ENSG00000130818 
ZNF266 	 ENSG00000174652 
ZNF267 	 ENSG00000185947 
ZNF268 	 ENSG00000090612 
ZNF274 	 ENSG00000171606 
ZNF275 	 ENSG00000063587 
ZNF276 	 ENSG00000158805 
ZNF277 	 ENSG00000198839 
ZNF28 	 ENSG00000198538 
ZNF280A 	 ENSG00000169548 
ZNF280B 	 ENSG00000198477 
ZNF280C 	 ENSG00000056277 
ZNF280D 	 ENSG00000137871 
ZNF281 	 ENSG00000162702 
ZNF282 	 ENSG00000170265 
ZNF283 	 ENSG00000167637 
ZNF284 	 ENSG00000186026 
ZNF285 	 ENSG00000267508 
ZNF286A> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_POGZ 	 ENSG00000143442 
ZNF286B 	 ENSG00000249459 
ZNF287 	 ENSG00000141040 
ZNF292 	 ENSG00000188994 
ZNF295 	 ENSG00000173276 
ZNF296 	 ENSG00000170684 
ZNF3 	 ENSG00000166526 
ZNF30 	 ENSG00000168661 
ZNF300 	 ENSG00000145908 
ZNF302 	 ENSG00000089335 
ZNF304 	 ENSG00000131845 
ZNF311 	 ENSG00000197935 
ZNF317 	 ENSG00000130803 
ZNF319 	 ENSG00000166188 
ZNF32 	 ENSG00000169740 
ZNF320 	 ENSG00000182986 
ZNF322A 	 ENSG00000181315 
ZNF323 	 ENSG00000235109 
ZNF324A 	 ENSG00000083812 
ZNF324B 	 ENSG00000249471 
ZNF329 	 ENSG00000181894 
ZNF331 	 ENSG00000130844 
ZNF333 	 ENSG00000160961 
ZNF334 	 ENSG00000198185 
ZNF335 	 ENSG00000198026 
ZNF337 	 ENSG00000130684 
ZNF33A 	 ENSG00000189180 
ZNF33B 	 ENSG00000196693 
ZNF34 	 ENSG00000196378 
ZNF341 	 ENSG00000131061 
ZNF343 	 ENSG00000088876 
ZNF345 	 ENSG00000251247 
ZNF347 	 ENSG00000197937 
ZNF35 	 ENSG00000169981 
ZNF350 	 ENSG00000256683 
ZNF354A 	 ENSG00000169131 
ZNF354B 	 ENSG00000178338 
ZNF354C 	 ENSG00000177932 
ZNF358 	 ENSG00000198816 
ZNF362 	 ENSG00000160094 
ZNF366 	 ENSG00000178175 
ZNF37A 	 ENSG00000075407 
ZNF382 	 ENSG00000161298 
ZNF383 	 ENSG00000188283 
ZNF384 	 ENSG00000126746 
ZNF391 	 ENSG00000124613 
ZNF394 	 ENSG00000160908 
ZNF396 	 ENSG00000186496 
ZNF397 	 ENSG00000186812 
ZNF398 	 ENSG00000197024 
ZNF404 	 ENSG00000176222 
ZNF407 	 ENSG00000215421 
ZNF408 	 ENSG00000175213 
ZNF41 	 ENSG00000147124 
ZNF410 	 ENSG00000119725 
ZNF414 	 ENSG00000133250 
ZNF415 	 ENSG00000170954 
ZNF416 	 ENSG00000083817 
ZNF417 	 ENSG00000173480 
ZNF417 	 ENSG00000268750 
ZNF418 	 ENSG00000196724 
ZNF419A 	 ENSG00000105136 
ZNF419B 	 ENSG00000152439 
ZNF420 	 ENSG00000197050 
ZNF423 	 ENSG00000102935 
ZNF425 	 ENSG00000204947 
ZNF43 	 ENSG00000198521 
ZNF432 	 ENSG00000256087 
ZNF433 	 ENSG00000197647 
ZNF434 	 ENSG00000140987 
ZNF436 	 ENSG00000125945 
ZNF438 	 ENSG00000183621 
ZNF439 	 ENSG00000171291 
ZNF44 	 ENSG00000197857 
ZNF440 	 ENSG00000171295 
ZNF440 	 ENSG00000198429 
ZNF441 	 ENSG00000197044 
ZNF442 	 ENSG00000198342 
ZNF443 	 ENSG00000180855 
ZNF444 	 ENSG00000167685 
ZNF444 	 ENSG00000196652 
ZNF445 	 ENSG00000185219 
ZNF446 	 ENSG00000083838 
ZNF449 	 ENSG00000173275 
ZNF45 	 ENSG00000124459 
ZNF451 	 ENSG00000112200 
ZNF454 	 ENSG00000178187 
ZNF460 	 ENSG00000197714 
ZNF461 	 ENSG00000197808 
ZNF462 	 ENSG00000148143 
ZNF462 	 ENSG00000242631 
ZNF467 	 ENSG00000181444 
ZNF468 	 ENSG00000204604 
ZNF469 	 ENSG00000225614 
ZNF471 	 ENSG00000196263 
ZNF479 	 ENSG00000105750 
ZNF479 	 ENSG00000118620 
ZNF479 	 ENSG00000146757 
ZNF479 	 ENSG00000152926 
ZNF479 	 ENSG00000160229 
ZNF479 	 ENSG00000160352 
ZNF479 	 ENSG00000173041 
ZNF479 	 ENSG00000181450 
ZNF479 	 ENSG00000182111 
ZNF479 	 ENSG00000182141 
ZNF479 	 ENSG00000183850 
ZNF479 	 ENSG00000184635 
ZNF479 	 ENSG00000185177 
ZNF479 	 ENSG00000186777 
ZNF479 	 ENSG00000188171 
ZNF479 	 ENSG00000196081 
ZNF479 	 ENSG00000196172 
ZNF479 	 ENSG00000196705 
ZNF479 	 ENSG00000197013 
ZNF479 	 ENSG00000197020 
ZNF479 	 ENSG00000197134 
ZNF479 	 ENSG00000197360 
ZNF479 	 ENSG00000197372 
ZNF479 	 ENSG00000198039 
ZNF479 	 ENSG00000213096 
ZNF479 	 ENSG00000213988 
ZNF479 	 ENSG00000229676 
ZNF479 	 ENSG00000237440 
ZNF479 	 ENSG00000256771 
ZNF479 	 ENSG00000262037 
ZNF479 	 ENSG00000269067 
ZNF48 	 ENSG00000135045 
ZNF48 	 ENSG00000180035 
ZNF480 	 ENSG00000198464 
ZNF483 	 ENSG00000173258 
ZNF484 	 ENSG00000127081 
ZNF485 	 ENSG00000198298 
ZNF487 	 ENSG00000243660 
ZNF490 	 ENSG00000188033 
ZNF493 	 ENSG00000196268 
ZNF496 	 ENSG00000162714 
ZNF497 	 ENSG00000174586 
ZNF498 	 ENSG00000197037 
ZNF500 	 ENSG00000103199 
ZNF501 	 ENSG00000186446 
ZNF502 	 ENSG00000196653 
ZNF506 	 ENSG00000081665 
ZNF507 	 ENSG00000168813 
ZNF510 	 ENSG00000081386 
ZNF511 	 ENSG00000165828 
ZNF511 	 ENSG00000198546 
ZNF512 	 ENSG00000243943 
ZNF512B 	 ENSG00000196700 
ZNF513 	 ENSG00000163795 
ZNF514 	 ENSG00000144026 
ZNF516 	 ENSG00000101493 
ZNF517 	 ENSG00000197363 
ZNF518A 	 ENSG00000261900 
ZNF518B 	 ENSG00000178163 
ZNF519 	 ENSG00000175322 
ZNF519 	 ENSG00000197302 
ZNF521 	 ENSG00000198795 
ZNF524 	 ENSG00000171443 
ZNF525 	 ENSG00000203326 
ZNF526 	 ENSG00000167625 
ZNF528 	 ENSG00000167555 
ZNF529 	 ENSG00000186020 
ZNF530 	 ENSG00000183647 
ZNF530 	 ENSG00000204519 
ZNF532 	 ENSG00000074657 
ZNF534 	 ENSG00000198633 
ZNF536 	 ENSG00000198597 
ZNF541 	 ENSG00000118156 
ZNF543 	 ENSG00000178229 
ZNF544 	 ENSG00000198131 
ZNF546 	 ENSG00000187187 
ZNF547 	 ENSG00000152433 
ZNF548 	 ENSG00000188785 
ZNF548 	 ENSG00000268133 
ZNF549 	 ENSG00000121406 
ZNF550 	 ENSG00000251369 
ZNF552 	 ENSG00000178935 
ZNF554 	 ENSG00000172006 
ZNF555 	 ENSG00000186300 
ZNF556 	 ENSG00000172000 
ZNF557 	 ENSG00000130544 
ZNF558 	 ENSG00000167785 
ZNF559 	 ENSG00000188321 
ZNF560 	 ENSG00000198028 
ZNF561 	 ENSG00000171469 
ZNF562 	 ENSG00000171466 
ZNF563 	 ENSG00000188868 
ZNF564 	 ENSG00000249709 
ZNF565 	 ENSG00000196357 
ZNF566 	 ENSG00000186017 
ZNF567 	 ENSG00000189042 
ZNF568 	 ENSG00000198453 
ZNF569 	 ENSG00000196437 
ZNF57 	 ENSG00000171970 
ZNF570 	 ENSG00000171827 
ZNF571 	 ENSG00000180479 
ZNF572 	 ENSG00000180938 
ZNF574 	 ENSG00000105732 
ZNF575 	 ENSG00000176472 
ZNF576 	 ENSG00000124444 
ZNF577 	 ENSG00000161551 
ZNF579 	 ENSG00000218891 
ZNF580 	 ENSG00000213015 
ZNF581 	 ENSG00000171425 
ZNF582 	 ENSG00000018869 
ZNF583 	 ENSG00000198440 
ZNF584 	 ENSG00000171574 
ZNF585A 	 ENSG00000196967 
ZNF586 	 ENSG00000083828 
ZNF587 	 ENSG00000198466 
ZNF587B 	 ENSG00000269343 
ZNF589 	 ENSG00000164048 
ZNF592 	 ENSG00000166716 
ZNF594 	 ENSG00000180626 
ZNF595 	 ENSG00000197701 
ZNF596 	 ENSG00000172748 
ZNF597 	 ENSG00000167981 
ZNF599 	 ENSG00000153896 
ZNF600 	 ENSG00000189190 
ZNF605 	 ENSG00000196458 
ZNF606 	 ENSG00000166704 
ZNF607 	 ENSG00000198182 
ZNF610 	 ENSG00000167554 
ZNF611 	 ENSG00000213020 
ZNF613 	 ENSG00000176024 
ZNF614 	 ENSG00000142556 
ZNF615 	 ENSG00000197619 
ZNF616 	 ENSG00000204611 
ZNF618 	 ENSG00000157657 
ZNF619 	 ENSG00000177873 
ZNF620 	 ENSG00000177842 
ZNF621 	 ENSG00000172888 
ZNF623 	 ENSG00000183309 
ZNF624 	 ENSG00000197566 
ZNF625 	 ENSG00000257591 
ZNF627 	 ENSG00000196757 
ZNF627 	 ENSG00000198551 
ZNF628 	 ENSG00000197483 
ZNF629 	 ENSG00000102870 
ZNF639 	 ENSG00000121864 
ZNF641 	 ENSG00000167528 
ZNF642 	 ENSG00000187815 
ZNF643 	 ENSG00000187801 
ZNF644 	 ENSG00000122482 
ZNF646 	 ENSG00000167395 
ZNF648 	 ENSG00000179930 
ZNF649 	 ENSG00000198093 
ZNF652 	 ENSG00000198740 
ZNF653 	 ENSG00000161914 
ZNF654 	 ENSG00000175105 
ZNF655 	 ENSG00000197343 
ZNF658 	 ENSG00000196409 
ZNF660 	 ENSG00000144792 
ZNF662 	 ENSG00000182983 
ZNF664 	 ENSG00000179195 
ZNF665 	 ENSG00000197497 
ZNF667 	 ENSG00000198046 
ZNF668 	 ENSG00000167394 
ZNF669 	 ENSG00000188295 
ZNF670 	 ENSG00000135747 
ZNF671 	 ENSG00000083814 
ZNF672 	 ENSG00000171161 
ZNF674 	 ENSG00000251192 
ZNF676 	 ENSG00000196109 
ZNF677 	 ENSG00000197928 
ZNF679 	 ENSG00000197123 
ZNF682 	 ENSG00000197124 
ZNF683 	 ENSG00000176083 
ZNF684 	 ENSG00000117010 
ZNF687 	 ENSG00000143373 
ZNF689 	 ENSG00000156853 
ZNF691 	 ENSG00000164011 
ZNF692 	 ENSG00000171163 
ZNF695 	 ENSG00000197472 
ZNF696 	 ENSG00000185730 
ZNF697 	 ENSG00000143067 
ZNF7 	 ENSG00000147789 
ZNF70 	 ENSG00000187792 
ZNF701 	 ENSG00000167562 
ZNF705A 	 ENSG00000196946 
ZNF705A 	 ENSG00000219492 
ZNF705D 	 ENSG00000215343 
ZNF705D 	 ENSG00000219492 
ZNF705F> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ZNF705E> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ZBTB7A 	 ENSG00000178951 
ZNF705G 	 ENSG00000215372 
ZNF707 	 ENSG00000181135 
ZNF709 	 ENSG00000196826 
ZNF71 	 ENSG00000197951 
ZNF710 	 ENSG00000140548 
ZNF711 	 ENSG00000147180 
ZNF713 	 ENSG00000178665 
ZNF717 	 ENSG00000227124 
ZNF721 	 ENSG00000182903 
ZNF726 	 ENSG00000213967 
ZNF727 	 ENSG00000257482 
ZNF729 	 ENSG00000196350 
ZNF736 	 ENSG00000234444 
ZNF74 	 ENSG00000185252 
ZNF740 	 ENSG00000139651 
ZNF746 	 ENSG00000181220 
ZNF749 	 ENSG00000186230 
ZNF75A 	 ENSG00000162086 
ZNF75D 	 ENSG00000186376 
ZNF76 	 ENSG00000065029 
ZNF763 	 ENSG00000197054 
ZNF764 	 ENSG00000169951 
ZNF764 	 ENSG00000169955 
ZNF765 	 ENSG00000196417 
ZNF766 	 ENSG00000196214 
ZNF768 	 ENSG00000169957 
ZNF77 	 ENSG00000175691 
ZNF77 	 ENSG00000196110 
ZNF770 	 ENSG00000198146 
ZNF771 	 ENSG00000179965 
ZNF772 	 ENSG00000197128 
ZNF774 	 ENSG00000196391 
ZNF775 	 ENSG00000196456 
ZNF776 	 ENSG00000152443 
ZNF776 	 ENSG00000269026 
ZNF777 	 ENSG00000196453 
ZNF778 	 ENSG00000170100 
ZNF780A 	 ENSG00000197782 
ZNF780B 	 ENSG00000128000 
ZNF781 	 ENSG00000196381 
ZNF782 	 ENSG00000196597 
ZNF784 	 ENSG00000179922 
ZNF785 	 ENSG00000197162 
ZNF786 	 ENSG00000197362 
ZNF787 	 ENSG00000142409 
ZNF788 	 ENSG00000214189 
ZNF789 	 ENSG00000198556 
ZNF79 	 ENSG00000196152 
ZNF790 	 ENSG00000197863 
